//////////////////////////////////////////////////////////////////////////////////////////////
Hash Function 0:
ISF is 0.10
Standard Deviation: 382.055

ISF is 0.20
Standard Deviation: 248.753

ISF is 0.35
Standard Deviation: 3.793

ISF is 0.50
Standard Deviation: 101.279

ISF is 0.70
Standard Deviation: 3.209

ISF is 0.85
Standard Deviation: 59.583

//////////////////////////////////////////////////////////////////////////////////////////////
Hash Function 1:
ISF is 0.10
Standard Deviation: 68.567

ISF is 0.20
Standard Deviation: 68.766

ISF is 0.35
Standard Deviation: 68.852

ISF is 0.50
Standard Deviation: 68.886

ISF is 0.70
Standard Deviation: 68.909

ISF is 0.85
Standard Deviation: 68.919

//////////////////////////////////////////////////////////////////////////////////////////////
Hash Function 2:
ISF is 0.10
Standard Deviation: 7.466

ISF is 0.20
Standard Deviation: 8.666

ISF is 0.35
Standard Deviation: 9.143

ISF is 0.50
Standard Deviation: 9.327

ISF is 0.70
Standard Deviation: 9.448

ISF is 0.85
Standard Deviation: 9.501

//////////////////////////////////////////////////////////////////////////////////////////////
Hash Function 3:
ISF is 0.10
Standard Deviation: 3.147

ISF is 0.20
Standard Deviation: 2.235

ISF is 0.35
Standard Deviation: 1.692

ISF is 0.50
Standard Deviation: 1.458

ISF is 0.70
Standard Deviation: 1.332

ISF is 0.85
Standard Deviation: 1.344

